Year	Month	Day	Hour	Min	Sec	s1	s2	s3
2002	2	3	0	0	0	0	0.254	5.08
2002	2	4	0	0	0	0	0	2.54
2002	2	5	0	0	0	0	0	2.54
2002	2	6	0	0	0	0	4.318	7.62
2002	2	7	0	0	0	4.826	6.096	20.32
2002	2	8	0	0	0	2.032	0.254	10.16
2002	2	9	0	0	0	0	0	2.54
2002	2	10	0	0	0	0.762	0	2.54
2002	2	11	0	0	0	0	0	10.16
2002	2	12	0	0	0	0	0	0
2002	2	13	0	0	0	0	0	5.08
2002	2	14	0	0	0	0	0	0
2002	2	15	0	0	0	0	0	2.54
2002	2	16	0	0	0	0	0	0
2002	2	17	0	0	0	0.762	0.508	0
2002	2	18	0	0	0	0	0.254	5.08
2002	2	19	0	0	0	0.762	3.81	5.08
2002	2	20	0	0	0	1.778	0	0
2002	2	21	0	0	0	2.032	3.302	10.16
2002	2	22	0	0	0	0	0	58.42
2002	2	23	0	0	0	0.762	0.508	12.7
2002	2	24	0	0	0	0	1.778	0
2002	2	25	0	0	0	0	0	0
2002	2	26	0	0	0	0.508	0.508	0
2002	2	27	0	0	0	0.508	0	7.62
2002	2	28	0	0	0	2.032	0	7.62
2002	3	1	0	0	0	0	0	2.54
2002	3	2	0	0	0	0	0	0
2002	3	3	0	0	0	0	0	0
2002	3	4	0	0	0	0.508	0	12.7
2002	3	5	0	0	0	0.254	2.794	22.86
2002	3	6	0	0	0	0.762	0.254	20.32
2002	3	7	0	0	0	0.762	1.016	0
2002	3	8	0	0	0	0.762	0	0
2002	3	9	0	0	0	0.508	0.762	7.62
2002	3	10	0	0	0	0.254	2.032	7.62
2002	3	11	0	0	0	2.286	5.842	38.1
2002	3	12	0	0	0	0.254	0.762	12.7
2002	3	13	0	0	0	0.254	0.508	0
2002	3	14	0	0	0	0.254	0	5.08
2002	3	15	0	0	0	0.762	1.524	5.08
2002	3	16	0	0	0	0	0.254	0
2002	3	17	0	0	0	1.27	1.778	0
2002	3	18	0	0	0	1.016	0.254	12.7
2002	3	19	0	0	0	1.524	8.382	25.4
2002	3	20	0	0	0	0.762	2.032	10.16
2002	3	21	0	0	0	0	0	5.08
2002	3	22	0	0	0	0	0	0
2002	3	23	0	0	0	0	0.254	0
2002	3	24	0	0	0	0.508	1.524	0
